net,length_um
_0416_,3370.425
_1567_,3211.335
_0432_,3135.97
_0522_,3076.26
_0433_,3049.63
_0517_,3026.54
_0445_,3026.2
_2072_,3018.52
_0638_,2992.91
_0570_,2976.875
_1577_,2975.76
_0541_,2961.075
_1364_,2915.505
_0488_,2914.87
_1978_,2914.23
_0427_,2912.28
_1261_,2906.5
_0478_,2903.3
_0583_,2890.9
_0627_,2861.99
_2189_,2859.6
_0547_,2856.11
_2108_,2854.96
_0493_,2848.84
_0453_,2848.775
_0424_,2838.84
_0479_,2838.615
_1712_,2838.605
_0552_,2836.44
_0626_,2835.77
_0447_,2818.24
_2036_,2817.66
_0549_,2811.6
_1363_,2810.7
_0441_,2807.63
_0543_,2801.715
_0516_,2791.99
_2094_,2791.665
_1579_,2791.55
_0460_,2785.36
_0529_,2772.225
_2235_,2767.52
_2047_,2759.32
_1260_,2755.63
_1956_,2753.7
_2224_,2753.33
_0510_,2747.96
_2058_,2746.1
_0586_,2743.82
_0494_,2736.08
_0648_,2730
_0590_,2723.09
_0448_,2722.39
_0515_,2710.49
_0481_,2709.02
_1646_,2708.5
_1967_,2688.085
_1893_,2667.96
_1585_,2657.98
_1590_,2657.51
_0530_,2655.46
_0647_,2653.61
_2154_,2645.7
_0589_,2635.29
_0548_,2633.4
_0554_,2622.65
_2200_,2621.3
_0591_,2608.28
_1996_,2603.525
_1164_,2599.665
_0646_,2594.46
_0593_,2592.88
_0597_,2585.64
_0553_,2584.34
_1583_,2578.755
_0621_,2571.3
_1573_,2563.39
_0418_,2560.225
_1357_,2555.78
_0434_,2548.56
_0417_,2542.88
_0622_,2536
_1691_,2533.32
_0459_,2526.53
_0544_,2522.86
_1469_,2514.785
_0452_,2507.9
_2165_,2499.965
_1594_,2499.04
_0518_,2476.65
_0533_,2476.01
_1620_,2474.23
_0520_,2468.91
_0503_,2465.54
_0528_,2460.11
_0485_,2457.44
_1381_,2434.07
_1614_,2412.92
_2143_,2407.98
_1610_,2406.95
_0521_,2403.77
_0425_,2396.495
_0563_,2385.94
_0472_,2375.84
_0545_,2369.04
_2119_,2365.19
_1362_,2364.24
_2249_,2357.55
_1257_,2347.29
_1376_,2345.65
_0442_,2332.46
_2260_,2331.67
_1084_,2325.955
_2130_,2322.02
_2018_,2319.87
_0511_,2290.94
_0532_,2290.91
_1565_,2287.025
_1083_,2286.27
_0604_,2283.61
_0624_,2280.18
_0531_,2280.05
_2178_,2277.82
_0420_,2264.595
_1575_,2262.465
_0438_,2262.275
_0540_,2253.69
_0443_,2227.42
_1598_,2214.275
_1581_,2209.69
_0539_,2202.64
_0556_,2175.635
_0487_,2171.99
_1422_,2169
_0480_,2166.34
_1569_,2163.82
_1138_,2150.485
_1644_,2147.1
_1240_,2146.535
_1392_,2134.03
_1571_,2108.47
_2271_,2104.44
_1596_,2099.89
_2007_,2085.89
_0995_,2064.18
_1219_,2062.68
_1588_,2058.24
_0610_,1991.6
_1405_,1952.84
_1234_,1944.27
_2213_,1943.165
_1592_,1926.635
_0663_,1920.11
_0512_,1909.82
net162,1831.49
_0379_,1812.34
_2083_,1811.235
_1425_,1799.28
RF.registers\[25\]\[9\],1790.92
_1586_,1789.53
net1,1788.88
_0673_,1786.98
_1304_,1767.4
net497,1743.35
_1120_,1712.59
_0464_,1700.94
RF.registers\[15\]\[18\],1693.38
_1456_,1689.83
net632,1682.07
_0519_,1680.76
_1387_,1667.45
net614,1665.32
RF.registers\[10\]\[15\],1665.02
net509,1664.01
_0070_,1653.15
RF.registers\[4\]\[21\],1652.57
_0971_,1647.88
RF.registers\[8\]\[22\],1642.815
_1541_,1641.5
net3,1637.82
net530,1637.4
net479,1636.88
net449,1630.41
net490,1628.82
net210,1623.48
net448,1622.72
RF.registers\[20\]\[3\],1622.42
_0475_,1612.93
_0214_,1611.48
_0450_,1610.715
net411,1609.12
net616,1607.82
RF.registers\[4\]\[8\],1602.55
RF.registers\[0\]\[30\],1600.81
_1292_,1600.72
net620,1596.87
RF.registers\[6\]\[7\],1594.49
net15,1591.06
RF.registers\[6\]\[30\],1585.585
RF.registers\[5\]\[23\],1578.6
net617,1577.33
_1098_,1572.75
RF.registers\[15\]\[31\],1569.34
RF.registers\[9\]\[31\],1569.31
RF.registers\[0\]\[8\],1569.12
_1603_,1566.88
_1725_,1566.47
RF.registers\[20\]\[9\],1564.99
_0115_,1564.34
net609,1563.535
net601,1563.13
_1976_,1562.46
_0802_,1558.23
net606,1555.89
RF.registers\[21\]\[20\],1555.75
RF.registers\[6\]\[11\],1552.21
RF.registers\[4\]\[28\],1547.22
_0474_,1539.68
RF.registers\[7\]\[27\],1538.42
_0736_,1535.4
_0980_,1535.14
RF.registers\[0\]\[15\],1532.3
_1777_,1531.68
RF.registers\[5\]\[24\],1527.45
_0394_,1526.15
net650,1524.19
net138,1521.7
RF.registers\[20\]\[7\],1518.6
net168,1517.7
net638,1516.98
RF.registers\[7\]\[6\],1515.925
RF.registers\[9\]\[18\],1513.85
RF.registers\[4\]\[24\],1513.08
_0169_,1512.835
_0340_,1511.1
RF.registers\[4\]\[11\],1509.45
net514,1507.9
RF.registers\[25\]\[5\],1507.58
RF.registers\[0\]\[4\],1506.86
net626,1505.04
net612,1502.18
RF.registers\[10\]\[4\],1502.08
_2237_,1500.4
_0107_,1499.41
net635,1498.45
net207,1497.9
RF.registers\[0\]\[27\],1496.72
net619,1494.45
net205,1493.82
_1647_,1492.68
RF.registers\[8\]\[18\],1492.63
net383,1491.545
RF.registers\[5\]\[8\],1491.49
net639,1490.04
RF.registers\[21\]\[17\],1483.86
RF.registers\[10\]\[24\],1483.52
_1366_,1482.73
_1344_,1481.19
net2,1480.935
_1284_,1480.48
_2243_,1479.78
RF.registers\[21\]\[28\],1476.62
_1974_,1471.9
_1400_,1469.5
RF.registers\[20\]\[26\],1469.2
RF.registers\[8\]\[30\],1468.33
RF.registers\[5\]\[29\],1467.16
_0256_,1466.99
RF.registers\[9\]\[27\],1466.44
RF.registers\[10\]\[25\],1466.25
RF.registers\[25\]\[1\],1458.98
_2030_,1456.64
_0072_,1456.4
_0781_,1456.05
net537,1453.93
_1917_,1453.36
_2121_,1452.3
net430,1447.73
net410,1445.52
RF.registers\[7\]\[12\],1444.77
RF.registers\[4\]\[20\],1444.16
net369,1443.69
_1099_,1443.48
RF.registers\[10\]\[16\],1441.93
_0535_,1440.91
RF.registers\[9\]\[26\],1439.02
net657,1438.71
_1696_,1435.05
_1285_,1430.61
_1665_,1429.46
_1966_,1429.33
RF.registers\[4\]\[30\],1428.81
_0849_,1428.81
RF.registers\[5\]\[7\],1428.02
net211,1425.87
net161,1425.84
RF.registers\[9\]\[2\],1425.57
RF.registers\[4\]\[2\],1421.24
RF.registers\[5\]\[19\],1420.625
_0337_,1419.78
RF.registers\[6\]\[31\],1419.75
_0685_,1416.98
_1252_,1416.65
_1323_,1416.52
_0577_,1415.86
_1578_,1415.31
_1395_,1413.27
_2131_,1412.03
RF.registers\[4\]\[9\],1411.54
_1009_,1410.28
RF.registers\[9\]\[24\],1410.18
_0461_,1410.08
RF.registers\[21\]\[11\],1409.83
_1653_,1407.55
RF.registers\[6\]\[17\],1406.95
RF.registers\[8\]\[4\],1403.33
_1718_,1402.68
RF.registers\[6\]\[28\],1401.53
RF.registers\[10\]\[28\],1399.67
net642,1397.88
_0262_,1397.6
RF.registers\[25\]\[7\],1397.355
RF.registers\[9\]\[29\],1397.25
net628,1396.57
RF.registers\[15\]\[10\],1395.71
RF.registers\[9\]\[0\],1395.63
net555,1394.575
RF.registers\[21\]\[14\],1391.27
net637,1391.15
RF.registers\[15\]\[24\],1390.6
RF.registers\[9\]\[7\],1388.15
RF.registers\[0\]\[0\],1387.195
_0771_,1387.08
net345,1386.87
_1796_,1386.83
RF.registers\[20\]\[1\],1384.44
_1315_,1382.47
_0562_,1382.09
RF.registers\[4\]\[7\],1381.87
_0073_,1381.86
_1927_,1381.6
RF.registers\[25\]\[31\],1380.9
net633,1379.38
_0762_,1378.68
RF.registers\[20\]\[18\],1378.54
net301,1377.82
RF.registers\[20\]\[25\],1377.03
RF.registers\[4\]\[10\],1375.54
_0430_,1374.54
RF.registers\[6\]\[6\],1372.14
_2000_,1372.02
RF.registers\[5\]\[21\],1371.51
_0018_,1369.88
net641,1369.76
_1493_,1366.82
RF.registers\[4\]\[0\],1365.69
net368,1365.44
_1193_,1365.04
_1379_,1363.59
_1733_,1363.49
_0839_,1362.48
RF.registers\[10\]\[10\],1361.88
_1154_,1359.79
_2081_,1359.63
RF.registers\[15\]\[19\],1359.28
RF.registers\[4\]\[4\],1358.91
RF.registers\[7\]\[31\],1357.93
_0349_,1353.83
RF.registers\[4\]\[23\],1353.17
_1937_,1352.81
RF.registers\[10\]\[20\],1352.52
RF.registers\[15\]\[27\],1351.84
RF.registers\[10\]\[18\],1351.63
_1170_,1351.45
_0576_,1350.72
_0422_,1350.43
RF.registers\[7\]\[9\],1349.39
_1250_,1349.18
_1786_,1349.08
net295,1348.67
_1301_,1348.33
_0374_,1346.43
_2301_,1345.62
RF.registers\[6\]\[2\],1345.2
_1248_,1344.47
RF.registers\[0\]\[29\],1344.25
_0578_,1344.21
_0803_,1341.49
net574,1340.4
_1770_,1340.26
net359,1339.95
_0708_,1337.3
_1373_,1336.3
_1748_,1335.58
RF.registers\[9\]\[9\],1334.42
net525,1333.64
_0982_,1333.5
RF.registers\[5\]\[31\],1331.53
net622,1331.5
RF.registers\[9\]\[19\],1328.82
_2133_,1326.8
_1459_,1325.99
RF.registers\[25\]\[29\],1324.42
_0584_,1324.41
_1780_,1324.41
RF.registers\[0\]\[28\],1324.14
RF.registers\[5\]\[0\],1322.62
RF.registers\[0\]\[25\],1321.3
_0561_,1320.8
_1221_,1320.8
_1503_,1319.45
RF.registers\[21\]\[1\],1319.41
SSD.count\[19\],1318.61
_1353_,1318.03
net602,1317.7
_0807_,1317
_0359_,1315.14
RF.registers\[4\]\[18\],1315.05
_1354_,1312.94
RF.registers\[4\]\[15\],1312.23
RF.registers\[10\]\[5\],1311.98
RF.registers\[10\]\[7\],1309.54
RF.registers\[8\]\[0\],1308.375
_1729_,1308.01
_2293_,1307.7
net630,1305.44
RF.registers\[9\]\[5\],1305.07
net378,1304.72
net627,1303.68
RF.registers\[21\]\[29\],1302.31
RF.registers\[15\]\[9\],1300.43
_1704_,1298.93
SSD.count\[8\],1298.91
_0083_,1296.38
_1426_,1294.68
net230,1294.61
_2080_,1294.52
_1192_,1293.92
RF.registers\[5\]\[9\],1293.07
net390,1293.035
net432,1291.94
RF.registers\[20\]\[23\],1290.4
RF.registers\[8\]\[11\],1288.89
RF.registers\[7\]\[30\],1287.06
_0947_,1283.36
RF.registers\[5\]\[2\],1282.87
net153,1279.97
net590,1279.9
RF.registers\[5\]\[10\],1279.81
net421,1279.66
RF.registers\[9\]\[11\],1279.18
net575,1278.83
_1905_,1277.14
RF.registers\[6\]\[26\],1276.72
_1374_,1276.29
RF.registers\[0\]\[24\],1276.08
_1303_,1274.69
RF.registers\[7\]\[23\],1274.33
_0768_,1273.96
SSD.count\[10\],1272.53
RF.registers\[4\]\[19\],1272.19
_0266_,1270.67
RF.registers\[8\]\[23\],1269.79
_2140_,1269.68
_0776_,1268.84
_2134_,1268.06
_1420_,1267.62
net594,1267.59
RF.registers\[4\]\[16\],1267.38
net599,1265.7
_0894_,1264.8
_1568_,1264.17
RF.registers\[7\]\[28\],1263.88
_0014_,1263.68
_1758_,1263.56
RF.registers\[20\]\[22\],1263.34
_0250_,1262.73
_1300_,1262.49
_0187_,1262.36
_1325_,1261.53
RF.registers\[9\]\[28\],1261.33
_1179_,1260.98
RF.registers\[15\]\[21\],1260.61
RF.registers\[15\]\[25\],1260.18
net361,1259.38
_0926_,1258.81
RF.registers\[6\]\[29\],1258.49
SSD.count\[1\],1258.45
_1233_,1257.14
_1455_,1256.71
_2151_,1255.23
_0087_,1255.1
net252,1254.84
_0200_,1253.375
RF.registers\[7\]\[14\],1253.18
RF.registers\[7\]\[1\],1252.965
_2050_,1252.22
net102,1251.665
RF.registers\[21\]\[18\],1249.38
_1208_,1249.32
_1437_,1248.71
_1669_,1248.27
_2191_,1247.66
_0934_,1247.22
net660,1245.77
_1318_,1245.22
net36,1245.07
_0580_,1243.66
SSD.count\[17\],1243.12
_0959_,1242.8
_1766_,1241.9
RF.registers\[7\]\[2\],1241.56
RF.registers\[4\]\[26\],1241.39
RF.registers\[9\]\[23\],1241.35
_1922_,1241.32
_1490_,1241.06
_2048_,1240.88
_0363_,1238.11
net656,1235.44
_0688_,1234.31
net536,1234.04
_1383_,1232.89
net589,1232.74
net499,1232.6
_2054_,1230.17
SSD.count\[0\],1229.61
RF.registers\[21\]\[3\],1228.33
_1002_,1227.45
_1298_,1227.1
_0489_,1225.86
_0317_,1225.55
RF.registers\[7\]\[13\],1225.5
_1628_,1224.84
_1108_,1224.46
_1367_,1223.76
RF.registers\[0\]\[26\],1223.43
_2090_,1222.12
RF.registers\[10\]\[19\],1220.15
_1360_,1219.49
RF.registers\[6\]\[22\],1217.28
RF.registers\[20\]\[8\],1213.55
RF.registers\[21\]\[31\],1213.24
RF.registers\[25\]\[23\],1213.22
_0508_,1212.78
_1069_,1212.68
_1479_,1212.37
_2125_,1212.3
_0127_,1211.52
_0339_,1211.2
ID.pc\[4\],1210.535
_1091_,1207.96
RF.registers\[15\]\[28\],1207.85
SSD.count\[11\],1207.14
_0011_,1206.62
_2257_,1206.43
_0154_,1205.66
_0292_,1205.3
_1280_,1204.13
RF.registers\[4\]\[12\],1203.4
net564,1203.07
_0492_,1202.96
_0689_,1202.31
RF.registers\[10\]\[11\],1201.77
RF.registers\[0\]\[12\],1201.04
_0639_,1201.04
_1388_,1201.04
_0082_,1199.71
_1255_,1199.03
_0232_,1198.9
net50,1198.67
_1135_,1197.59
_0035_,1197.14
RF.registers\[20\]\[6\],1196.46
net498,1195.52
net615,1195.48
_1289_,1195.02
_1794_,1194.76
_1625_,1194.64
RF.registers\[0\]\[6\],1193.51
_1377_,1192.48
_2258_,1191.86
_1181_,1191.36
_0100_,1191.1
net651,1190.99
_2026_,1190.51
net371,1189.105
_1347_,1188.93
RF.registers\[0\]\[23\],1188.64
net646,1188.14
_0949_,1186.97
_0004_,1186.78
net652,1186.31
net38,1186.14
RF.registers\[4\]\[27\],1185.89
net401,1185.62
RF.registers\[5\]\[14\],1185.03
_0215_,1185.03
_0077_,1184.55
_0775_,1184.35
RF.registers\[21\]\[10\],1184.11
_0105_,1183.78
net181,1183.65
net180,1183.33
_1753_,1182.12
_1683_,1182.01
_0455_,1180.64
_1945_,1179.83
_2152_,1179.36
net129,1178.765
net600,1177.36
RF.registers\[15\]\[1\],1176.27
net661,1174.44
net598,1170.395
_1390_,1166.47
_1436_,1166.09
_0390_,1165.67
_1355_,1165.09
RF.registers\[7\]\[29\],1163.86
RF.registers\[9\]\[15\],1163.34
_0749_,1162.98
_1222_,1162.85
_0005_,1162.52
_1215_,1162.17
_0777_,1161.37
_0632_,1161.25
RF.registers\[15\]\[26\],1160.71
net212,1159.78
RF.registers\[7\]\[25\],1159.62
_1923_,1159.34
_0988_,1159.25
_1126_,1158.85
net189,1158.07
net445,1157.44
_1412_,1156.9
_2277_,1156.34
_0739_,1155.86
RF.registers\[8\]\[25\],1155.54
_0958_,1155.36
RF.registers\[5\]\[11\],1154.56
_1645_,1153.83
_0276_,1153.54
_0868_,1151.75
SSD.count\[6\],1151.6
_2038_,1150.33
net515,1149.88
_0918_,1149.12
RF.registers\[5\]\[27\],1148.65
_2226_,1148.14
RF.registers\[6\]\[16\],1147.82
_1033_,1147.59
net354,1145.74
RF.registers\[20\]\[28\],1145.21
net586,1144.58
_1630_,1142.61
RF.registers\[0\]\[5\],1142.58
RF.registers\[6\]\[8\],1141.8
net629,1141.19
_1416_,1140.6
_1238_,1140.42
net581,1139.91
_1551_,1139.8
_0419_,1138.075
_0704_,1137.7
net402,1136.48
_0183_,1136.41
net40,1136.04
RF.registers\[25\]\[3\],1135.69
_1008_,1135.32
_1483_,1134.62
net526,1134.52
RF.registers\[6\]\[5\],1134.38
net427,1134.26
net582,1134.24
_0729_,1132.14
_1580_,1131.2
_1726_,1130.71
_0741_,1130.04
_0264_,1129.72
RF.registers\[4\]\[31\],1129.38
RF.registers\[6\]\[1\],1128.26
_0272_,1128.01
_0726_,1127.62
_2162_,1126.63
_0243_,1125.88
RF.registers\[21\]\[22\],1125.87
RF.registers\[15\]\[30\],1125.84
RF.registers\[21\]\[13\],1125.48
_0240_,1124.79
_1719_,1124.18
RF.registers\[25\]\[4\],1124.14
RF.registers\[0\]\[10\],1123.62
_1341_,1121.63
RF.registers\[0\]\[11\],1121.54
RF.registers\[7\]\[17\],1121.36
RF.registers\[4\]\[13\],1118.9
_2302_,1118.64
net433,1117.29
RF.registers\[9\]\[6\],1116.29
_1128_,1115.94
RF.registers\[9\]\[14\],1115.41
_0978_,1114.39
RF.registers\[9\]\[8\],1114.35
RF.registers\[25\]\[16\],1112.74
_1808_,1112.65
net28,1110.88
