net,length_um
_02275_,433.12
_02268_,432.46
_02575_,430.67
_04219_,430.26
clk,430.09
_05007_,429.53
_04023_,429.01
_02633_,428.85
_04143_,428.27
_04141_,427.745
_02560_,427.63
_02597_,427.05
net194,427.04
_03773_,426.83
_03752_,426.75
net202,426.18
_02315_,425.93
_03800_,425.24
net177,424.9
net198,422.42
_01970_,422.34
_02464_,422.16
_02228_,422.09
_04033_,420.95
_01907_,420.82
_04298_,420.68
_04816_,419.53
_02808_,419.47
net46,418.27
_03851_,417.56
_03942_,415.87
_03756_,414.995
_03381_,413.96
_03782_,413.73
_01807_,413.22
_02166_,412.1
_02470_,412.06
net197,410.44
_02622_,409.99
_02982_,409.69
_03938_,409.67
_05043_,409.66
_02128_,409.6
_03936_,409.56
_03007_,409.48
_02423_,408.6
net204,408.26
_02880_,408.11
_02646_,407.91
net5,407.57
_02459_,406.57
net41,405.41
_02721_,404.695
net188,404.32
_03407_,404.12
_02337_,403.97
_03780_,403.54
_03879_,403.02
_02032_,402.99
_03130_,402.35
_04177_,401.78
_02033_,401.44
_04240_,401.33
net201,400.84
_03789_,400.65
net43,399.16
net200,396.72
_03802_,396.57
_02409_,396.2
net192,394.96
_03755_,394.18
_04257_,394.03
_01933_,393.59
_02730_,393.35
_04913_,393.11
_01959_,392.81
_04151_,392.7
_04769_,391.8
_02513_,391.76
_03021_,390.615
_04924_,390.47
_05032_,388.78
_04949_,387.65
_02611_,387.37
_02070_,386.17
net203,385.38
net181,384.86
_02682_,384.8
_01795_,383.77
_04432_,383.68
_04804_,381.53
_02262_,381.18
net207,380.74
_02739_,378.92
_02884_,378.83
_02044_,378.295
_04155_,377.43
_02106_,377.2
_01854_,376.5
_02373_,376.32
_01848_,375.53
_01803_,373.42
_01996_,373.045
_01914_,372.72
_04863_,372.5
_02683_,371.78
net199,371.74
net180,371.66
_03330_,370.58
_03377_,370.53
net17,369.78
_03015_,369.54
_04971_,369.255
_02488_,369
_03282_,368.83
_01833_,368.72
_02549_,368.08
_04877_,364.64
_02351_,364.59
_02326_,363.185
_02300_,362.09
_03766_,361.45
_01949_,360.74
net206,360.32
_02217_,360.29
net33,359.42
_04805_,358.7
_01863_,358.44
_04912_,358.29
_04193_,358.28
net39,355.65
_04146_,354.8
net205,354.28
_02105_,352.36
_02460_,350.62
_02954_,350.5
_01890_,350.16
net185,349.46
_02290_,348.74
_05057_,347.215
net28,346.23
_04229_,345.18
net195,344.82
_04380_,344.12
_02757_,342.81
net208,340.96
_01841_,340.43
_02055_,340.39
net191,339.42
_02462_,339.37
_03846_,339.17
_04948_,339.02
net178,337.4
_02537_,335.85
_01912_,335.365
net16,335.36
_02477_,335.245
_03078_,334.19
_02155_,333.82
_02117_,333.6
_01120_,333.25
_02304_,331.81
_01858_,331.32
_02778_,331.24
net112,330.63
_02749_,330.57
net35,329.7
_01928_,329.29
net186,329.08
net182,328.74
_03822_,328.19
net12,327.39
net19,327.25
_02733_,325.12
_01846_,324.11
_02362_,322.23
_02314_,321.54
net44,320.62
net34,319.61
_01916_,319.28
net31,318.69
_03197_,317.6
_04710_,316.64
_01924_,315.11
_01850_,315
_04133_,313.57
_04563_,313.54
_01895_,313.465
_02574_,311.61
net32,310.48
_03576_,309.91
net176,308.71
_01852_,307.81
_03761_,307.65
net11,306.78
_04535_,306.71
_02658_,306.34
net21,306.3
_04249_,304.72
_04852_,304.08
_03250_,303.93
net13,300.775
net1,300.12
_01958_,298.58
_02466_,298.01
_03303_,296.84
net174,296.195
_01920_,296.02
net167,295.55
net9,295.09
_04322_,294.96
_02269_,294.66
_01502_,293.645
_02759_,291.365
net23,290.74
_02719_,290.53
_01899_,290.25
_02253_,290.03
net15,289.81
_01903_,289.76
_02308_,287.59
_01953_,287.44
A1[0],287.42
_03335_,286.97
net172,286.93
net151,286
net10,284.52
net173,284.34
_03426_,281.98
_03535_,281.91
_03005_,280.92
_02468_,275.75
_03507_,275.4
_03302_,275.16
_01121_,274.69
_01893_,274.28
A1[1],273.47
_03751_,272.18
_05020_,271.2
_03224_,270.755
net6,270.4
_03397_,269.19
