net,length_um
RF.registers\[0\]\[9\],1246.94
RF.registers\[25\]\[6\],1245.9
net454,1245.57
_0728_,1242.06
_0273_,1241.93
_1257_,1240.68
RF.registers\[0\]\[22\],1240
net101,1239.68
_0419_,1238.72
RF.registers\[5\]\[9\],1238.435
_0816_,1234.04
net483,1232.72
net264,1232.48
net458,1232.07
_1093_,1231.99
_0654_,1230.22
net449,1230.14
_0608_,1227.96
_0875_,1227.42
_0894_,1227.4
_0601_,1226.74
_0781_,1225.22
_0447_,1224.96
RF.registers\[0\]\[17\],1224.8
RF.registers\[20\]\[24\],1224.7
RF.registers\[15\]\[12\],1222.13
_0623_,1221.04
_0925_,1220.1
net40,1219.8
_0714_,1219.75
_0697_,1219.14
net318,1218.98
RF.registers\[15\]\[14\],1216.94
_0982_,1216.32
_1020_,1215.64
SSD.count\[13\],1214.62
net240,1214.215
_0565_,1211.81
_1134_,1209.6
_0424_,1209.06
net322,1208.9
net96,1206.63
RF.registers\[10\]\[4\],1205.72
_1025_,1205.54
_0502_,1202.36
net299,1200.92
_0600_,1200.71
net481,1198.7
_0563_,1197.29
_0849_,1195.16
RF.registers\[20\]\[21\],1190.9
RF.registers\[20\]\[31\],1190.64
RF.registers\[10\]\[17\],1189.38
net472,1188.26
RF.registers\[5\]\[19\],1188.17
RF.registers\[5\]\[27\],1187.41
_0605_,1183.58
net159,1182.16
_0560_,1180.71
_0537_,1180.14
_0467_,1180.04
net260,1179.295
net17,1178.74
_0043_,1178.38
_0740_,1173.24
RF.registers\[10\]\[0\],1172.135
_0035_,1170.13
net460,1169.86
RF.registers\[5\]\[11\],1164.94
_0370_,1164.795
net294,1163.69
_1161_,1163
RF.registers\[5\]\[15\],1160.89
_0657_,1160.24
_0322_,1158.65
_1121_,1154.8
RF.registers\[15\]\[3\],1154.62
_0161_,1152.25
_0590_,1150.94
_0268_,1150.78
RF.registers\[10\]\[22\],1150.59
net187,1150.12
_0947_,1149.8
RF.registers\[10\]\[2\],1147.92
_0688_,1147.44
net471,1146.47
_0481_,1145.09
_0536_,1140.54
net316,1140.28
_0574_,1139.96
RF.registers\[15\]\[16\],1138.18
_0032_,1137.68
_1067_,1137.49
RF.registers\[0\]\[5\],1136.78
net49,1136.54
_0013_,1136.145
RF.registers\[20\]\[15\],1135.98
_0105_,1134.86
_1231_,1134.82
_0394_,1133.86
_0848_,1131.9
RF.registers\[0\]\[0\],1131.88
net450,1131.28
_0631_,1131.03
net431,1129.49
net158,1129.44
_0354_,1129.4
net227,1127.72
net47,1126.28
net339,1126.22
net73,1125.22
_1222_,1125.04
net469,1124.1
RF.registers\[15\]\[25\],1123.42
_0583_,1123.08
_0641_,1122.66
SSD.count\[2\],1122.52
RF.registers\[25\]\[30\],1121.32
_0705_,1119.135
net401,1118.76
_1073_,1117.26
_0058_,1115.92
_0388_,1113.48
_0596_,1112.49
net350,1111.05
net4,1110.84
_0694_,1110.06
_0379_,1108.99
_1169_,1108.22
_0992_,1107.08
_0515_,1106.48
_0770_,1106.12
net87,1105.44
net345,1105.21
net461,1104.52
_0052_,1104.5
RF.registers\[5\]\[14\],1104.22
_0577_,1102.69
RF.registers\[25\]\[12\],1102.26
_0421_,1100.505
_1259_,1100.42
net221,1099.68
net250,1099.58
RF.registers\[5\]\[10\],1099.13
_0340_,1098.14
net296,1097.25
RF.registers\[20\]\[6\],1095.9
net226,1094.54
RF.registers\[20\]\[9\],1094.12
_0755_,1094.02
RF.registers\[5\]\[8\],1093.885
RF.registers\[5\]\[13\],1092.91
net179,1092.61
_0598_,1091.06
RF.registers\[15\]\[1\],1089.93
_0066_,1089.92
_0614_,1087.615
net344,1086.755
_1168_,1086.24
_0353_,1082.72
_0889_,1079.84
_0797_,1078.49
RF.registers\[25\]\[28\],1078.06
_0633_,1076.9
net415,1073.8
RF.registers\[0\]\[24\],1072.22
RF.registers\[10\]\[24\],1068.46
_0926_,1067.74
_0930_,1066.2
_0387_,1065.28
_0466_,1064.9
RF.registers\[10\]\[11\],1063.23
net406,1061.82
_0799_,1060.54
_1279_,1059.94
net305,1059.585
net301,1059.42
net177,1058.98
net439,1058.84
RF.registers\[10\]\[10\],1058.42
net414,1058.38
_1289_,1058.2
_0815_,1058
_0576_,1057.71
net451,1057.1
_0809_,1057.09
_0673_,1055.81
_0916_,1053.91
_0390_,1051.69
RF.registers\[15\]\[11\],1051.51
_1081_,1051.5
net239,1050.52
_1199_,1049.81
_0414_,1049.44
_1135_,1049.28
_1034_,1048.48
_0748_,1047.66
_0316_,1046.98
_0521_,1046.96
net256,1045.24
_0047_,1045.04
_0182_,1044.81
net457,1043.54
_0069_,1041.2
net261,1039.64
_0984_,1039.3
_0397_,1037.63
_1085_,1037.21
_0937_,1036.58
_0212_,1035.75
net5,1035.64
net2,1035.18
net286,1031.75
RF.registers\[20\]\[5\],1030.96
_0219_,1028.72
_0236_,1027.96
_0883_,1026.99
_1286_,1024.76
_0842_,1024.69
_0532_,1024.37
RF.registers\[15\]\[17\],1023.94
SSD.count\[15\],1021.74
RF.registers\[20\]\[3\],1021.16
_0222_,1020.98
_1256_,1020.98
_0081_,1020.49
RF.registers\[20\]\[26\],1019.69
RF.registers\[20\]\[2\],1019.68
net360,1019.38
_0403_,1018.64
_0531_,1016.88
_0762_,1016.59
_0042_,1014.02
_0934_,1012.12
_0743_,1011.44
_1084_,1011.34
_0295_,1010.4
_1131_,1009.88
RF.registers\[25\]\[15\],1009.54
_1165_,1009.14
_0454_,1006.3
net217,1005.58
RF.registers\[0\]\[30\],1005.56
_0738_,1005.24
_0289_,1004.66
_1107_,1004.42
_0119_,1004.12
net287,1003.48
_0108_,1002.96
net257,1000.66
_0506_,999.81
_1174_,999.34
_0805_,999.13
_0095_,997.36
_1176_,996.6
_0191_,995.545
RF.registers\[20\]\[20\],994.12
net416,992.46
_0125_,992.19
_0209_,990.46
_0116_,990.22
_1098_,989.56
net464,988.34
net63,986.92
net456,986.86
net41,985.74
RF.registers\[10\]\[25\],985.34
net417,984.86
_0154_,984.56
_0964_,983.82
_1164_,983.32
_1065_,983.06
_0404_,981.38
_0715_,981.36
_0727_,980.5
RF.registers\[10\]\[13\],979.3
_0579_,979.27
_0785_,979.19
_0712_,977.77
RF.registers\[25\]\[10\],977.46
_0416_,977.42
_0566_,977.18
_0380_,976.42
_0363_,976.22
_1071_,975.54
net482,974.14
RF.registers\[0\]\[1\],973.18
_1028_,971.23
_0044_,970.3
_0256_,968.7
RF.registers\[5\]\[30\],967.93
net355,967.88
_0920_,967.8
_0369_,967.68
_0671_,967.52
net137,967.475
_0568_,965.32
RF.registers\[20\]\[18\],964.14
_1157_,963.76
net347,963.52
SSD.count\[0\],963.3
_0232_,962.45
_0290_,962.13
_0040_,961.96
_0453_,960.975
RF.registers\[25\]\[31\],960.97
RF.registers\[10\]\[15\],960.65
_1097_,960.18
_0965_,959.14
_0821_,958.97
_0347_,958.76
_0189_,958.4
RF.registers\[15\]\[20\],957.76
net112,957.02
_1143_,956.05
net304,954.88
_0594_,954.82
RF.registers\[20\]\[11\],954.78
_0438_,954.195
net477,953.38
RF.registers\[15\]\[0\],952.95
SSD.count\[9\],952.88
net418,949.9
_1080_,949.78
_1092_,949.78
SSD.count\[1\],948.42
_0254_,946.32
_0529_,946.26
_0586_,944.61
_0130_,942.1
_1148_,940
_0953_,939.64
RF.registers\[5\]\[29\],939.34
_0310_,938.23
_0736_,937.94
_0867_,937.68
_0371_,937.2
_0798_,937.02
RF.registers\[20\]\[8\],936.28
_0581_,935.32
_0578_,934.95
net321,934.24
_1249_,933.26
_0708_,933.1
net391,932.76
_1052_,932.56
RF.registers\[5\]\[3\],931.77
_0690_,929.94
_0597_,929.32
_0024_,929.04
RF.registers\[0\]\[4\],928.1
_0833_,927.38
net136,926.74
_0478_,925.92
RF.registers\[25\]\[1\],925.855
_0346_,925.43
_0724_,924.88
_1201_,924.72
net186,924.38
_1062_,923.755
_0668_,922.52
_0294_,921.58
_1272_,921.26
_0462_,919.98
_0904_,919.48
net480,919.34
_0376_,919.11
_0588_,918.87
net216,918.12
net338,917.71
_0662_,917.3
net470,917.3
_0003_,916.59
_0272_,916.1
_0138_,912.8
_1132_,911.72
_0194_,911.32
_0550_,910.92
_0670_,910.3
RF.registers\[5\]\[5\],908.38
net315,907.85
_0216_,906.25
net6,905.86
_0997_,905.36
RF.registers\[25\]\[22\],905.16
RF.registers\[25\]\[7\],902.18
_0084_,901.9
_0240_,901.6
RF.registers\[5\]\[31\],901.235
_1217_,900.48
_0279_,900.42
_0856_,899.725
_0361_,897.66
_0465_,895.04
_0902_,894.84
RF.registers\[15\]\[13\],894.79
RF.registers\[0\]\[19\],894.46
_1188_,893.6
_0016_,893.22
_1111_,893.1
RF.registers\[15\]\[27\],891.59
net440,891.56
_1055_,890.85
_0023_,889.31
_1242_,889.26
net474,885.64
net413,885.455
RF.registers\[15\]\[28\],885.06
_1208_,884.88
RF.registers\[10\]\[8\],884.39
net125,884.18
_0407_,884.08
_0611_,882.96
_0801_,881.935
_0011_,881.6
RF.registers\[20\]\[1\],880.72
_0444_,880.7
_1037_,879.08
_1008_,878
_1284_,876.44
_0193_,873.86
net445,873.1
net420,872.42
_0067_,871.08
_1238_,869.9
_0737_,869.29
RF.registers\[15\]\[19\],867.53
_0960_,866.36
_1207_,865.76
_0202_,865.63
net320,862.77
_0969_,862.34
_1235_,862
net188,861.12
_0140_,858.17
_0868_,857.9
_0569_,857.7
_1113_,857.44
RF.registers\[15\]\[26\],857.05
_0778_,855.74
_0123_,855.37
_0647_,855.1
net343,853.505
_0078_,853.46
_0880_,853.45
_0436_,853.38
_0906_,853.075
_0109_,852
clk,851.45
_0041_,850.96
_1087_,849.92
_0250_,849.85
RF.registers\[15\]\[23\],848.77
RF.registers\[0\]\[15\],848.16
_1133_,846.96
_0307_,846.03
_0936_,845.51
_0046_,845.2
_1171_,845.2
_1024_,845.06
SSD.count\[12\],844.94
SSD.count\[14\],844.8
_1029_,844.52
_0991_,843.67
_0446_,843.53
_0258_,842.8
_0001_,842.73
RF.registers\[15\]\[4\],840.05
_1058_,840.02
net351,836.41
RF.registers\[25\]\[23\],835.74
net476,833.6
RF.registers\[20\]\[30\],832.12
_0364_,831.94
net62,831.63
_0808_,831.46
_1021_,831.41
_0735_,831.38
RF.registers\[10\]\[23\],830.74
_0175_,829.86
RF.registers\[10\]\[6\],829.74
_0884_,829.4
_1006_,827.23
_0472_,826.7
_0050_,826.66
net317,826.42
_0747_,825.49
_0169_,824.81
_0179_,823.6
RF.registers\[20\]\[4\],823.3
_0012_,822.88
_0812_,822.78
_0913_,822.32
SSD.count\[11\],822.3
_0160_,820.1
_0445_,819.07
RF.registers\[15\]\[22\],816.18
_0196_,815.28
_0520_,815.28
RF.registers\[15\]\[7\],815.16
RF.registers\[5\]\[17\],813.32
RF.registers\[5\]\[1\],813.21
net140,811.72
_1205_,811.52
_0612_,811.14
_0986_,810.73
_1262_,810.52
net412,810.46
RF.registers\[25\]\[5\],808.75
RF.registers\[5\]\[7\],806.75
_0177_,806.56
_0911_,806.25
clknet_4_15_0_clk,805.215
_0102_,804.44
_1230_,803.56
_0746_,802.51
_0360_,802.41
_1003_,802.36
_0914_,801.96
RF.registers\[15\]\[6\],801.77
_1193_,800.4
_1275_,799.62
_0879_,798.66
_0640_,797.945
_1027_,796.97
_0951_,796.5
_0796_,795
_0836_,794.64
_0148_,794.2
_0789_,794
net432,793.96
_0431_,793.35
RF.registers\[20\]\[28\],793.28
_1160_,792.32
net172,791.52
net74,791.46
_0973_,791.08
_0575_,791.01
net200,790.82
_0459_,789.67
_0635_,788.04
_0483_,788.03
_1278_,788.02
_0048_,787.92
_0166_,787.88
_0405_,784.65
net441,783.48
RF.registers\[5\]\[6\],783.44
_0251_,782.97
net433,781.72
_0763_,781.06
_0482_,779.95
ID.pc\[2\],779.82
_1172_,779.52
RF.registers\[10\]\[27\],779.34
_0942_,779.14
net373,778.06
_0759_,777.31
_0637_,777.08
_0649_,776.68
net475,775.66
RF.registers\[10\]\[28\],775.49
_0314_,774.22
_0147_,773.82
RF.registers\[15\]\[18\],773.06
_0839_,772.78
_1191_,772.36
_0869_,769.37
_0019_,769.12
net288,767.66
_0300_,766.7
_1053_,766.475
_1022_,765.8
_0516_,765.41
clknet_4_7_0_clk,765.3
RF.registers\[0\]\[12\],764.62
RF.registers\[5\]\[0\],761.82
_0283_,760.78
_0943_,760.72
